ID_CLIENTE,CANAL,PRECIO_ASIGNADO,ZONA,CLAS_VENTA,TIPO_FACT
373,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
374,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
375,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
376,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
377,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
378,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
379,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
380,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
381,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
382,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
383,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
384,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
385,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
386,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
387,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
